idx,trial,E_main,E_main_int,win_input_all,rel_improvement
0,median_baseline_centered,0.9240127955710314,0.6470174551878765,True,0.29977435562640087
1,median_baseline_centered,0.3552181966092987,0.25813969340516246,True,0.27329259629860325
2,median_baseline_centered,0.6817291007299324,0.6733776822219235,True,0.012250347680705922
3,median_baseline_centered,0.9699145624531151,0.7135453213119021,True,0.2643214681636883
4,median_baseline_centered,0.7153264926251292,1.2122224023437158,False,-0.6946421177473334
5,median_baseline_centered,3.941011211690536,3.9764514637925408,False,-0.00899267984746319
6,median_baseline_centered,0.3349246568788624,0.3048416703044625,True,0.08982016091216202
7,median_baseline_centered,7.352374646308982,6.619625069380091,True,0.0996616212010692
8,median_baseline_centered,0.308263573114051,0.2450312389679787,True,0.20512424970326465
9,median_baseline_centered,0.37587717773505547,0.2985949905810224,True,0.20560489365039705
10,median_baseline_centered,6.08494310380114,5.365862161863278,True,0.11817381521423732
11,median_baseline_centered,0.16786673265472435,0.1892867576580918,False,-0.1276013696370531
12,median_baseline_centered,0.4368463234071692,0.6639413771438893,False,-0.5198511274284731
13,median_baseline_centered,23.25088224182105,24.89494155060487,False,-0.07070954519853025
14,median_baseline_centered,0.1935516900618516,0.10791223917989717,True,0.4424629454495847
15,median_baseline_centered,0.20454884687586364,0.12015164916751714,True,0.41260167924169605
16,median_baseline_centered,2.5076926428441215,2.589222324347258,False,-0.03251183183702937
17,median_baseline_centered,2.771754479702266,2.9502327202576786,False,-0.06439179294643725
18,median_baseline_centered,0.12725211296866076,0.09694370757888321,True,0.23817604818085522
19,median_baseline_centered,0.3313469046840309,0.23282456603450172,True,0.29733894373687225
20,median_baseline_centered,0.8756650575064712,0.6436285154309976,True,0.264983214856091
21,median_baseline_centered,3.682578214096093,3.5817607577649877,True,0.02737686763723612
22,median_baseline_centered,4.267853699793107,3.6857543603755034,True,0.13639158705128185
23,median_baseline_centered,0.7028730424785056,0.5237878465449657,True,0.2547902467589112
24,median_baseline_centered,5.5757486118512904,4.330923111042727,True,0.22325710634845608
25,median_baseline_centered,2.9277184717605933,2.6695003047247425,True,0.08819774494249176
26,median_baseline_centered,4.467639321794433,3.3035115236417054,True,0.2605688853335845
27,median_baseline_centered,0.26974230704559987,0.2392576491100015,True,0.11301400314015976
28,median_baseline_centered,0.25265295314569636,0.26070475322630826,False,-0.031869012336209805
29,median_baseline_centered,3.3650516801388703,2.879965949545583,True,0.1441540210084157
30,median_baseline_centered,0.5152102125014246,0.6373708624688259,False,-0.23710836276721978
31,median_baseline_centered,0.26609126251521487,0.15989607894550004,True,0.3990930877079949
32,median_baseline_centered,0.19159288271196762,0.12215112358472417,True,0.3624443567211038
33,median_baseline_centered,0.39943080331420955,0.3467163669435959,True,0.13197388867631774
34,median_baseline_centered,0.48277833320097197,0.8180971292405782,False,-0.6945605736190412
35,median_baseline_centered,0.2944361254249567,0.23848491401313718,True,0.19002835107572366
36,median_baseline_centered,3.397987247529146,2.85825111046078,True,0.1588399536992605
37,median_baseline_centered,0.3182832034926861,0.18002879760804466,True,0.43437543787127314
38,median_baseline_centered,0.20422920747829507,0.2538199948211067,False,-0.2428192713220961
39,median_baseline_centered,0.23483256959971763,0.35787951685211666,False,-0.5239773488899515
40,median_baseline_centered,0.3796588291461836,0.27927822362889854,True,0.26439686847996413
41,median_baseline_centered,0.1007566026362636,0.11047893530959176,False,-0.09649325621200006
42,median_baseline_centered,0.518875521633866,0.5531730229454056,False,-0.06609967108002231
43,median_baseline_centered,0.4860705302791704,0.27494854796966395,True,0.4343443372051707
44,median_baseline_centered,0.3235264832072875,0.3266081667094543,False,-0.009525289774138246
45,median_baseline_centered,0.5852138968294356,0.7381649558324246,False,-0.26135923947019024
46,median_baseline_centered,1.8007522451756381,1.6990265366249453,True,0.05649067428524263
47,median_baseline_centered,0.2644462209986196,0.2591954529569932,True,0.01985571214358151
48,median_baseline_centered,0.3545192336349977,0.3805027569362844,False,-0.07329228102745261
49,median_baseline_centered,0.1465706914741903,0.1364768239760759,True,0.06886688871098733
50,median_baseline_centered,0.2778353355491145,0.2685510346315331,True,0.03341655912556419
51,median_baseline_centered,3.795839726631731,3.8739602571377163,False,-0.02058056612819251
52,median_baseline_centered,2.441885157526918,2.1049187079758784,True,0.13799438868459024
53,median_baseline_centered,0.4775056376267642,0.7677321139314229,False,-0.607796962872515
54,median_baseline_centered,0.4302508846387647,0.20053895871675495,True,0.5339022745167398
55,median_baseline_centered,0.5854516652826943,0.29136975109354657,True,0.5023162997523348
56,median_baseline_centered,5.842755053550794,8.604457325911504,False,-0.4726712393465611
57,median_baseline_centered,0.5803184480428117,0.2844510263851437,True,0.509836319446683
58,median_baseline_centered,0.2562358217392244,0.17251783634743148,True,0.3267224107200258
59,median_baseline_centered,0.557493217494526,0.6146791903645545,False,-0.10257698403386856
60,median_baseline_centered,0.6588531697175548,0.5970248553853257,True,0.09384232659704833
61,median_baseline_centered,0.17406964458706897,0.195743408892176,False,-0.12451202710499813
62,median_baseline_centered,38.55993275028858,29.065455163708716,True,0.24622650791600673
63,median_baseline_centered,0.8346336986568798,0.743583656913169,True,0.1090898221460773
64,median_baseline_centered,4.058043772781619,4.326069025612978,False,-0.06604789594163817
65,median_baseline_centered,0.22175945491610713,0.12540302618056964,True,0.4345087733533398
66,median_baseline_centered,0.30558340481227747,0.3265245947696367,False,-0.06852855759675512
67,median_baseline_centered,0.42218653992123323,0.2865957769463282,True,0.32116315929892236
68,median_baseline_centered,0.30350651727687816,0.3989130212785881,False,-0.3143474639602537
