k,err_main_mean,err_main_sem,err_main_int_mean,err_main_int_sem,input_winrate_int
1,0.7278631075147807,0.14096874951141208,0.7278631075147807,0.14096874951141208,0.0
2,2.0704072187269067,0.8536328762381592,2.1659401652634873,0.976719988277446,0.74
3,1.9294734944250242,0.32493021901040103,1.9165472374287809,0.32922985460864834,0.66
4,2.1324276282195895,0.38195246513722664,2.078047816540531,0.38460307579983816,0.63
5,3.758677108703888,1.5460331368779763,3.353946054412158,1.19478088755104,0.62
6,1.7891208009594541,0.24969761676659147,1.709252730070708,0.28252916819886387,0.63
7,1.5098311609149935,0.18879827319440173,1.240726015784613,0.15182570734647322,0.62
8,1.5274547626059782,0.1949421951190928,1.1459779876166152,0.1286336345374825,0.62
