token_index_j,token,shapley_influence_on_CLS
8,[SEP],0.00120166205354811
18,[SEP],0.0009914281128052002
2,plan,-0.0008980179685750045
16,practice,0.0008783652757604917
12,a,0.0007511525667117288
0,[CLS],-0.0007382999601153035
14,failure,0.0006285696503861497
17,.,0.000574780623234498
15,in,0.00029220891980609546
1,the,0.00024246249328522632
4,good,-0.00023463279891681546
6,paper,-0.00023051044651462387
11,was,-0.0002196013384188215
7,.,-0.00017929077342463036
3,sounded,0.00012152965840262671
