k,err_main_mean,err_main_sem,err_main_int_mean,err_main_int_sem,input_winrate_int
1,0.5762032909767998,0.016574323334065194,0.5762032909767998,0.016574323334065194,0.0
2,0.8707425816400868,0.027424082650876168,0.7898430493248497,0.024624502170631956,0.9
3,1.1149280407675544,0.05184197705050876,0.9419315900422415,0.04312553564341266,0.87
4,1.2552053454326468,0.05963872430827298,1.0052228433101646,0.05587185630338347,0.83
5,1.4282939756278552,0.10661456989683346,0.9763385217585953,0.05571351301572362,0.86
6,1.4553663318606491,0.0709106616675782,0.9460292556752491,0.09093239757547589,0.86
7,1.5510389217299254,0.08078383196174362,0.8029643901534013,0.05935462866033049,0.86
8,1.675159809481539,0.10371387582817956,0.6368345508213021,0.06248349044862391,0.83
